Designator,Mid X,Mid Y,Rotation,Layer
C201,105.0,-113.7,180.0,top
C202,120.0,-120.6,180.0,top
C203,122.9,-122.65,90.0,top
C204,115.0,-125.5,270.0,top
C205,115.0,-121.6,90.0,top
C206,131.1,-125.5,270.0,top
C207,136.8,-114.8,0.0,top
C208,136.8,-117.2,0.0,top
C209,93.5,-112.0,270.0,top
C210,99.5,-111.0,270.0,top
C211,100.0,-118.5,0.0,top
C212,100.0,-116.0,0.0,top
C213,95.0,-115.5,0.0,top
C214,95.0,-118.0,0.0,top
C215,95.0,-120.5,0.0,top
C216,119.5,-66.0,270.0,top
C217,122.5,-66.0,90.0,top
C301,135.0,-92.0,180.0,top
C302,138.0,-92.0,180.0,top
C303,135.0,-87.0,180.0,top
C304,130.5,-59.0,90.0,top
C305,132.5,-60.0,90.0,top
C306,138.0,-87.0,180.0,top
C309,134.5,-69.5,90.0,top
C310,131.5,-68.0,0.0,top
C311,137.2,-98.0,180.0,top
C312,135.5,-107.5,270.0,top
C313,134.0,-102.0,180.0,top
C314,137.2,-102.0,0.0,top
C315,129.7,-110.6,180.0,top
C317,135.0,-78.5,180.0,top
C318,135.0,-77.0,180.0,top
C320,138.0,-78.5,180.0,top
C321,126.0,-91.0,0.0,top
C322,123.5,-81.5,90.0,top
C323,123.5,-85.0,270.0,top
C324,129.5,-101.0,0.0,top
C325,133.2,-95.2,180.0,top
C326,133.2,-93.7,180.0,top
C327,132.0,-84.5,180.0,top
C328,131.0,-87.5,270.0,top
C329,138.0,-77.0,180.0,top
C401,127.5,-80.0,0.0,top
C402,125.5,-71.5,0.0,top
C403,125.5,-74.0,0.0,top
C404,129.5,-74.5,0.0,top
C405,129.5,-72.5,0.0,top
C406,132.0,-80.5,180.0,top
C407,116.3,-54.5,90.0,top
C408,122.4,-55.5,270.0,top
C409,106.0,-84.5,180.0,top
C410,106.0,-78.0,180.0,top
C411,102.5,-107.5,90.0,top
C412,106.335,-98.548,180.0,top
C413,106.0,-91.5,180.0,top
C501,104.0,-59.5,90.0,top
C502,101.0,-59.5,90.0,top
C503,106.0,-71.0,270.0,top
C504,99.9,-63.3,90.0,top
C505,101.5,-71.0,270.0,top
D301,126.0,-96.5,0.0,top
D302,126.0,-100.0,270.0,top
D401,125.0,-77.0,180.0,top
D402,127.0,-59.5,0.0,top
D403,106.0,-81.0,180.0,top
D404,106.0,-75.0,180.0,top
D405,135.0,-60.0,90.0,top
D406,105.5,-108.0,90.0,top
D407,105.835,-95.0,180.0,top
D408,106.0,-88.5,180.0,top
D501,111.2,-54.6,90.0,top
FB201,104.7,-115.4,180.0,top
FB202,137.4,-112.8,0.0,top
FB203,100.0,-121.0,0.0,top
H105,100.1,-52.5,0.0,top
H106,138.1,-119.6,0.0,top
H107,92.6,-126.2,0.0,top
J101,89.5,-72.0,0.0,top
K1,113.0,-105.0,0.0,top
K2,113.0,-94.0,0.0,top
K3,113.0,-83.0,0.0,top
K4,113.0,-72.5,0.0,top
K5,113.0,-62.0,0.0,top
L201,126.7,-122.6,0.0,top
L202,96.0,-106.5,90.0,top
L301,120.0,-70.5,270.0,top
L302,137.5,-100.0,180.0,top
L303,122.0,-70.5,270.0,top
L304,135.5,-89.5,90.0,top
L305,135.5,-84.5,90.0,top
L306,135.5,-81.0,90.0,top
L307,137.5,-89.5,90.0,top
L308,137.5,-84.5,90.0,top
L309,137.5,-81.0,90.0,top
L310,123.6,-89.0,90.0,top
L311,132.0,-90.0,180.0,top
L401,118.6,-55.2,0.0,top
Q201,104.0,-122.0,90.0,top
Q202,98.0,-125.0,180.0,top
Q301,129.5,-93.0,270.0,top
Q401,100.1,-81.5,270.0,top
Q402,100.1,-75.0,270.0,top
Q403,105.5,-102.0,180.0,top
Q404,100.5,-95.5,270.0,top
Q405,100.1,-88.5,270.0,top
R101,117.2,-120.8,90.0,top
R103,124.5,-54.7,0.0,top
R201,128.0,-126.6,180.0,top
R202,118.0,-126.4,180.0,top
R203,125.0,-126.6,0.0,top
R204,121.9,-126.6,180.0,top
R205,104.0,-119.0,0.0,top
R206,102.0,-125.0,180.0,top
R207,100.0,-107.0,270.0,top
R208,102.0,-126.5,180.0,top
R209,101.0,-111.0,90.0,top
R210,94.5,-123.0,180.0,top
R211,100.7,-114.1,180.0,top
R212,94.5,-124.5,180.0,top
R301,137.3,-107.5,90.0,top
R302,136.5,-72.0,90.0,top
R303,137.5,-69.5,180.0,top
R304,135.0,-73.0,270.0,top
R305,133.0,-99.0,180.0,top
R306,135.0,-75.5,180.0,top
R307,138.0,-72.0,90.0,top
R308,134.7,-111.5,90.0,top
R310,138.0,-67.5,180.0,top
R311,133.8,-97.7,0.0,top
R312,138.0,-75.5,180.0,top
R313,139.0,-65.0,90.0,top
R314,137.0,-65.0,90.0,top
R315,138.0,-62.5,180.0,top
R316,127.5,-103.5,270.0,top
R317,123.5,-100.3,90.0,top
R318,129.505,-96.0,0.0,top
R319,126.0,-93.0,180.0,top
R401,129.5,-77.0,270.0,top
R402,128.0,-66.5,90.0,top
R403,126.0,-66.5,90.0,top
R404,128.0,-63.0,90.0,top
R405,125.5,-64.0,180.0,top
R406,128.0,-77.0,90.0,top
R407,131.1,-77.0,90.0,top
R408,132.0,-82.5,0.0,top
R409,125.5,-62.5,0.0,top
R410,129.0,-55.5,0.0,top
R413,129.0,-53.0,0.0,top
R414,121.0,-98.5,180.0,top
R415,121.0,-89.5,0.0,top
R416,120.5,-87.5,180.0,top
R417,120.5,-78.5,0.0,top
R418,119.5,-109.0,90.0,top
R419,121.5,-109.0,90.0,top
R420,119.5,-101.0,270.0,top
R421,121.5,-101.0,270.0,top
R422,121.0,-96.5,180.0,top
R423,121.0,-91.5,180.0,top
R424,120.5,-85.5,180.0,top
R425,120.5,-80.5,180.0,top
R426,122.0,-106.0,180.0,top
R427,120.0,-94.0,90.0,top
R428,119.5,-83.0,90.0,top
R429,119.5,-105.0,90.0,top
R430,122.0,-94.0,90.0,top
R431,121.5,-83.0,90.0,top
R432,137.5,-60.0,90.0,top
R433,99.7,-84.5,180.0,top
R434,99.7,-78.0,180.0,top
R435,103.0,-82.0,90.0,top
R436,103.0,-75.5,90.0,top
R437,102.5,-101.5,90.0,top
R438,100.0,-98.548,180.0,top
R439,99.7,-91.5,180.0,top
R440,105.0,-105.0,0.0,top
R441,103.335,-96.048,90.0,top
R442,103.0,-89.0,90.0,top
R443,102.5,-104.5,270.0,top
R444,103.335,-98.548,0.0,top
R445,103.0,-91.5,0.0,top
R446,103.0,-78.0,0.0,top
R447,103.0,-84.5,0.0,top
R455,122.0,-104.0,0.0,top
R457,121.0,-74.0,180.0,top
